iter	Passed	Remaining
0	140	140046
1	141	70382
2	141	47124
3	142	35474
4	143	28479
5	143	23805
6	144	20549
7	145	18049
8	146	16109
9	146	14543
10	147	13274
11	148	12209
12	148	11301
13	149	10525
14	150	9852
15	150	9263
16	151	8743
17	151	8282
18	153	7917
19	154	7551
20	154	7217
21	155	6910
22	156	6628
23	156	6368
24	157	6131
25	157	5911
26	158	5725
27	159	5538
28	160	5367
29	161	5207
30	161	5056
31	162	4913
32	163	4776
33	163	4651
34	165	4554
35	165	4438
36	166	4333
37	167	4228
38	167	4130
39	168	4038
40	168	3949
41	169	3865
42	170	3785
43	170	3714
44	171	3639
45	172	3574
46	173	3509
47	173	3445
48	174	3383
49	174	3324
50	175	3266
51	176	3209
52	176	3157
53	177	3104
54	177	3055
55	178	3007
56	178	2959
57	179	2912
58	179	2869
59	180	2827
60	181	2787
61	181	2750
62	182	2712
63	182	2676
64	183	2644
65	184	2611
66	185	2580
67	185	2547
68	186	2515
69	187	2491
70	188	2462
71	188	2434
72	189	2405
73	190	2378
74	190	2353
75	191	2327
76	192	2302
77	192	2277
78	193	2253
79	193	2229
80	194	2205
81	195	2188
82	195	2163
83	196	2141
84	196	2119
85	197	2097
86	197	2076
87	198	2056
88	198	2036
89	199	2020
90	200	2003
91	201	1985
92	201	1966
93	202	1951
94	203	1935
95	203	1918
96	204	1901
97	204	1885
98	205	1868
99	205	1852
100	206	1837
101	206	1822
102	207	1807
103	208	1792
104	208	1779
105	209	1766
106	210	1754
107	210	1741
108	211	1728
109	212	1715
110	212	1705
111	213	1692
112	214	1680
113	214	1667
114	215	1657
115	215	1645
116	216	1632
117	216	1621
118	217	1610
119	218	1598
120	218	1587
121	219	1576
122	219	1565
123	220	1554
124	220	1544
125	221	1534
126	222	1526
127	222	1516
128	223	1507
129	223	1497
130	224	1487
131	224	1478
132	225	1468
133	225	1459
134	226	1451
135	227	1442
136	228	1437
137	228	1429
138	229	1421
139	230	1413
140	230	1405
141	230	1395
142	231	1387
143	232	1380
144	232	1373
145	233	1365
146	234	1358
147	234	1352
148	235	1344
149	236	1337
150	236	1330
151	237	1322
152	237	1315
153	238	1308
154	238	1301
155	239	1295
156	240	1289
157	240	1284
158	241	1277
159	242	1271
160	242	1263
161	243	1257
162	243	1252
163	244	1246
164	245	1240
165	245	1234
166	246	1228
167	246	1222
168	247	1217
169	248	1211
170	248	1206
171	249	1200
172	249	1194
173	250	1188
174	250	1182
175	251	1177
176	252	1172
177	252	1166
178	253	1162
179	254	1157
180	254	1152
181	255	1146
182	255	1141
183	256	1136
184	256	1131
185	257	1126
186	258	1123
187	259	1119
188	259	1115
189	260	1109
190	260	1104
191	261	1100
192	262	1095
193	262	1091
194	263	1086
195	263	1081
196	264	1077
197	264	1073
198	265	1069
199	266	1064
200	266	1060
201	267	1055
202	267	1051
203	268	1047
204	268	1042
205	269	1038
206	269	1033
207	270	1029
208	270	1025
209	271	1021
210	272	1018
211	273	1014
212	273	1011
213	274	1007
214	274	1003
215	275	999
216	275	995
217	277	994
218	278	992
219	278	988
220	279	984
221	280	981
222	280	977
223	281	974
224	281	970
225	282	966
226	282	962
227	283	959
228	283	956
229	284	952
230	285	949
231	285	945
232	286	941
233	286	938
234	287	934
235	287	931
236	288	927
237	288	923
238	289	920
239	289	917
240	290	913
241	290	911
242	291	907
243	292	904
244	292	901
245	293	898
246	293	895
247	294	893
248	295	890
249	295	886
250	296	883
251	296	880
252	297	877
253	297	874
254	298	871
255	298	867
256	299	865
257	299	862
258	300	859
259	301	857
260	301	854
261	302	851
262	302	848
263	303	846
264	304	843
265	304	840
266	305	837
267	305	834
268	306	831
269	306	828
270	307	826
271	307	823
272	308	821
273	309	819
274	309	816
275	310	814
276	310	811
277	311	809
278	312	806
279	312	803
280	313	801
281	313	798
282	314	795
283	314	793
284	315	790
285	315	788
286	316	785
287	317	784
288	318	782
289	318	780
290	319	777
291	319	775
292	320	772
293	320	770
294	321	768
295	322	766
296	323	764
297	323	762
298	324	760
299	324	758
300	325	755
301	326	753
302	326	751
303	327	749
304	327	747
305	328	745
306	329	742
307	329	740
308	330	738
309	331	736
310	331	734
311	332	732
312	332	730
313	333	728
314	334	726
315	334	724
316	335	722
317	335	720
318	336	718
319	337	716
320	338	715
321	338	713
322	339	711
323	340	709
324	340	707
325	341	705
326	341	703
327	342	701
328	342	699
329	343	697
330	343	695
331	344	693
332	345	691
333	345	689
334	346	687
335	346	685
336	347	683
337	347	681
338	348	679
339	348	677
340	349	675
341	349	673
342	350	671
343	350	669
344	351	667
345	352	666
346	353	665
347	354	663
348	354	661
349	355	659
350	356	658
351	356	656
352	357	654
353	357	652
354	358	651
355	358	649
356	359	648
357	360	646
358	361	645
359	362	643
360	362	642
361	363	640
362	363	638
363	364	636
364	364	634
365	365	633
366	365	631
367	366	629
368	367	629
369	368	627
370	369	625
371	369	624
372	370	622
373	370	620
374	371	618
375	371	617
376	372	615
377	373	613
378	373	612
379	374	610
380	374	609
381	375	607
382	376	605
383	376	604
384	377	602
385	377	600
386	378	598
387	378	597
388	379	595
389	379	593
390	380	592
391	380	590
392	381	588
393	382	587
394	382	586
395	383	584
396	383	583
397	384	581
398	385	580
399	385	578
400	386	576
401	386	575
402	387	573
403	387	571
404	388	570
405	388	568
406	389	567
407	389	565
408	390	564
409	390	562
410	391	561
411	392	559
412	392	557
413	393	556
414	393	554
415	394	553
416	394	551
417	395	550
418	395	548
419	396	547
420	397	546
421	398	545
422	398	543
423	399	542
424	399	540
425	400	539
426	400	538
427	401	536
428	402	535
429	402	533
430	402	531
431	403	530
432	403	528
433	404	527
434	405	526
435	405	524
436	406	523
437	406	522
438	407	520
439	408	519
440	408	517
441	409	516
442	409	515
443	410	513
444	410	512
445	411	511
446	412	509
447	412	508
448	413	507
449	413	505
450	414	504
451	414	502
452	415	501
453	415	500
454	416	498
455	416	497
456	417	495
457	417	494
458	418	493
459	419	492
460	419	490
461	420	489
462	420	488
463	421	486
464	422	485
465	422	484
466	423	482
467	423	481
468	424	480
469	424	478
470	425	477
471	425	476
472	426	474
473	426	473
474	427	472
475	428	471
476	428	470
477	429	468
478	429	467
479	430	466
480	431	465
481	431	463
482	432	462
483	432	461
484	433	460
485	433	458
486	434	457
487	435	456
488	435	455
489	436	454
490	437	453
491	437	451
492	438	450
493	438	449
494	439	448
495	440	447
496	440	446
497	441	444
498	441	443
499	442	442
500	443	441
501	443	440
502	444	438
503	444	437
504	445	436
505	445	435
506	446	433
507	446	432
508	447	431
509	448	430
510	448	429
511	449	428
512	450	427
513	450	426
514	451	425
515	451	423
516	452	422
517	453	421
518	453	420
519	454	419
520	454	417
521	455	416
522	455	415
523	456	414
524	457	413
525	458	412
526	458	411
527	459	410
528	460	409
529	460	408
530	461	407
531	461	406
532	462	405
533	462	403
534	463	402
535	464	401
536	464	400
537	465	399
538	466	398
539	466	397
540	467	396
541	467	395
542	468	394
543	468	392
544	469	392
545	470	390
546	470	389
547	471	388
548	471	387
549	472	386
550	473	385
551	474	384
552	474	383
553	475	382
554	475	381
555	476	380
556	476	379
557	477	378
558	477	377
559	478	376
560	479	375
561	479	374
562	480	372
563	481	371
564	481	370
565	482	369
566	482	368
567	483	367
568	483	366
569	484	365
570	485	364
571	485	363
572	486	362
573	487	361
574	488	360
575	489	359
576	489	358
577	490	357
578	490	356
579	491	355
